1.40	18.89	 0.015	 0.739	 0.246	2.67
1.45	8.90	 0.039	 0.751	 0.210	2.56
1.50	5.73	 0.052	 0.774	 0.174	2.45
1.55	4.26	 0.089	 0.751	 0.160	2.43
1.60	3.44	 0.102	 0.749	 0.149	2.40
1.65	2.92	 0.128	 0.723	 0.149	2.41
1.70	2.57	 0.123	 0.749	 0.128	2.34
1.75	2.31	 0.151	 0.757	 0.092	2.24
1.80	2.12	 0.191	 0.696	 0.113	2.32
1.85	1.96	 0.196	 0.723	 0.081	2.22
1.90	1.84	 0.213	 0.716	 0.072	2.20
1.95	1.74	 0.244	 0.681	 0.075	2.22
2.00	1.66	 0.270	 0.667	 0.063	2.19
2.05	1.59	 0.305	 0.642	 0.053	2.16
2.10	1.53	 0.260	 0.692	 0.048	2.14
2.15	1.48	 0.277	 0.687	 0.036	2.11
2.20	1.43	 0.293	 0.677	 0.031	2.09
